size,type,ms
500,random,0
500,reverse,0
500,almost,0
600,random,0
600,reverse,0
600,almost,0
700,random,0
700,reverse,0
700,almost,0
800,random,0
800,reverse,0
800,almost,0
900,random,0
900,reverse,0
900,almost,0
1000,random,0
1000,reverse,0
1000,almost,0
1100,random,0
1100,reverse,0
1100,almost,0
1200,random,0
1200,reverse,0
1200,almost,0
1300,random,0
1300,reverse,0
1300,almost,0
1400,random,0
1400,reverse,0
1400,almost,0
1500,random,0
1500,reverse,0
1500,almost,0
1600,random,0
1600,reverse,0
1600,almost,0
1700,random,0
1700,reverse,0
1700,almost,0
1800,random,0
1800,reverse,0
1800,almost,0
1900,random,0
1900,reverse,0
1900,almost,0
2000,random,0
2000,reverse,0
2000,almost,0
2100,random,0
2100,reverse,0
2100,almost,0
2200,random,0
2200,reverse,0
2200,almost,0
2300,random,0
2300,reverse,0
2300,almost,0
2400,random,0
2400,reverse,0
2400,almost,0
2500,random,0
2500,reverse,0
2500,almost,0
2600,random,0
2600,reverse,0
2600,almost,0
2700,random,0
2700,reverse,0
2700,almost,0
2800,random,0
2800,reverse,0
2800,almost,0
2900,random,0
2900,reverse,0
2900,almost,0
3000,random,0
3000,reverse,0
3000,almost,0
3100,random,0
3100,reverse,0
3100,almost,0
3200,random,0.2
3200,reverse,0
3200,almost,0
3300,random,0
3300,reverse,0
3300,almost,0
3400,random,0.2
3400,reverse,0
3400,almost,0
3500,random,0
3500,reverse,0
3500,almost,0
3600,random,0
3600,reverse,0
3600,almost,0
3700,random,0
3700,reverse,0
3700,almost,0
3800,random,0
3800,reverse,0
3800,almost,0
3900,random,0
3900,reverse,0
3900,almost,0
4000,random,0
4000,reverse,0
4000,almost,0
4100,random,0
4100,reverse,0
4100,almost,0
4200,random,0
4200,reverse,0
4200,almost,0
4300,random,0
4300,reverse,0
4300,almost,0
4400,random,0
4400,reverse,0
4400,almost,0
4500,random,0
4500,reverse,0
4500,almost,0
4600,random,0
4600,reverse,0
4600,almost,0
4700,random,0
4700,reverse,0
4700,almost,0
4800,random,0
4800,reverse,0
4800,almost,0
4900,random,0
4900,reverse,0
4900,almost,0
5000,random,0
5000,reverse,0
5000,almost,0
5100,random,0
5100,reverse,0
5100,almost,0
5200,random,0
5200,reverse,0
5200,almost,0
5300,random,0
5300,reverse,0
5300,almost,0
5400,random,0
5400,reverse,0
5400,almost,0
5500,random,0
5500,reverse,0
5500,almost,0
5600,random,0
5600,reverse,0
5600,almost,0
5700,random,0
5700,reverse,0
5700,almost,0
5800,random,0
5800,reverse,0
5800,almost,0
5900,random,0
5900,reverse,0
5900,almost,0
6000,random,0
6000,reverse,0
6000,almost,0
6100,random,0
6100,reverse,0
6100,almost,0
6200,random,0
6200,reverse,0
6200,almost,0
6300,random,0
6300,reverse,0
6300,almost,0
6400,random,0
6400,reverse,0
